,title,price,stars,reviews
155,"Redmi K20 Pro (Carbon Black, 128 GB)","₹22,999",4.5,"67,545 Ratings & 8,345 Reviews"
156,"OPPO F15 (Unicorn White, 128 GB)","₹18,990",4.4,"12,782 Ratings & 1,148 Reviews"
157,"OPPO F15 (Lightening Black, 128 GB)","₹16,990",4.3,309 Ratings & 37 Reviews
158,"OPPO F15 (Blazing Blue, 128 GB)","₹18,990",4.4,"12,782 Ratings & 1,148 Reviews"
159,"Apple iPhone XR ((PRODUCT)RED, 128 GB)","₹51,999",4.6,"16,282 Ratings & 1,384 Reviews"
160,Nokia 105 SS,"₹1,315",4.3,"83,144 Ratings & 7,903 Reviews"
161,Grabo G310,₹599,3.7,591 Ratings & 66 Reviews
162,Nokia 105,"₹1,449",4.2,"21,937 Ratings & 2,010 Reviews"
163,"Redmi Note 8 Pro (Shadow Black, 128 GB)","₹18,999",4.4,"8,659 Ratings & 764 Reviews"
164,"Vivo Z1x (Phantom Purple, 128 GB)","₹18,990",4.4,"22,314 Ratings & 2,386 Reviews"
165,"Apple iPhone XR (White, 128 GB)","₹51,999",4.6,"16,282 Ratings & 1,384 Reviews"
166,Micromax X748,"₹1,400",4.2,319 Ratings & 36 Reviews
167,"OPPO A11K (Deep Blue, 32 GB)","₹8,990",4.2,"2,920 Ratings & 234 Reviews"
168,"Vivo S1 Pro (Dreamy White, 128 GB)","₹19,990",4.4,"14,489 Ratings & 1,129 Reviews"
169,"OPPO F11 Pro (Waterfall Grey, 128 GB)","₹15,990",4.4,"1,20,151 Ratings & 11,569 Reviews"
170,"Vivo S1 Pro (Jazzy Blue, 128 GB)","₹19,990",4.4,"14,489 Ratings & 1,129 Reviews"
171,Lava A1,₹897,4.2,"69,885 Ratings & 8,073 Reviews"
172,Lava A1,₹953,4.2,"69,885 Ratings & 8,073 Reviews"
173,Lava A1,"₹1,024",4.2,"11,791 Ratings & 1,170 Reviews"
174,Lava A1,₹897,4.2,"69,885 Ratings & 8,073 Reviews"
175,Lava A1,₹897,4.2,"11,791 Ratings & 1,170 Reviews"
176,Lava A1,₹897,4.2,"11,791 Ratings & 1,170 Reviews"
177,Lava A1,₹897,4.2,"11,791 Ratings & 1,170 Reviews"
178,"Apple iPhone XR (Coral, 64 GB)","₹45,999",4.6,"16,282 Ratings & 1,384 Reviews"
179,Micromax X380,₹996,4,"7,743 Ratings & 854 Reviews"
180,Karbonn K Pebble,"₹1,490",4,"1,648 Ratings & 223 Reviews"
181,"Redmi 8A Dual (Sky White, 32 GB)","₹9,899",4.2,"3,105 Ratings & 235 Reviews"
182,"Vivo Z1Pro (Sonic Blue, 128 GB)","₹17,990",4.5,"1,49,266 Ratings & 14,738 Reviews"
183,"Samsung Galaxy A21s (Blue, 64 GB)","₹14,999",4.2,"4,726 Ratings & 490 Reviews"
184,"Vivo V19 (Piano Black, 128 GB)","₹24,990",4.4,"5,697 Ratings & 556 Reviews"
185,"Samsung Galaxy A21s (Black, 64 GB)","₹14,999",4.2,"4,726 Ratings & 490 Reviews"
186,"Samsung Galaxy M31 (Ocean Blue, 128 GB)","₹19,302",4.4,"1,280 Ratings & 125 Reviews"
187,Samsung Metro 313 Dual Sim,"₹2,340",4.2,"16,518 Ratings & 1,924 Reviews"
188,Snexian Rock,"₹1,299",3.9,"5,276 Ratings & 352 Reviews"
189,"Realme X3 (Glacier Blue, 128 GB)","₹25,999",4.3,"3,624 Ratings & 546 Reviews"
190,"OnePlus 7T (Glacier Blue, 128 GB)","₹37,499",4.6,"8,136 Ratings & 736 Reviews"
191,Blackbear B5 Bucket,₹699,3.7,423 Ratings & 41 Reviews
192,"iQOO 3 (Quantum Silver, 256 GB)","₹37,990",4.5,"7,031 Ratings & 1,261 Reviews"
193,"Apple iPhone 7 Plus (Black, 32 GB)","₹35,999",4.5,"28,219 Ratings & 2,915 Reviews"
194,"Samsung Galaxy M31 (Space Black, 128 GB)","₹19,283",4.4,"1,280 Ratings & 125 Reviews"
195,Samsung Metro 313 Dual Sim,"₹2,130",4.2,"9,977 Ratings & 1,098 Reviews"
196,Samsung Metro 313 Dual Sim,"₹2,299",4.3,"9,116 Ratings & 881 Reviews"
197,Nokia 110,"₹1,929",4,"3,413 Ratings & 247 Reviews"
198,Nokia 110,"₹1,929",4,"3,413 Ratings & 247 Reviews"
199,Lava H1 Hero 600,₹799,4,639 Ratings & 48 Reviews
200,Lava Gem,"₹1,549",4.2,387 Ratings & 42 Reviews
201,"OPPO A1K (Red, 32 GB)","₹7,990",4.3,"10,000 Ratings & 618 Reviews"
202,Nokia TA-1010/105,"₹1,217",4.3,"27,755 Ratings & 2,512 Reviews"
203,Nokia 150,"₹2,299",4.2,"10,109 Ratings & 968 Reviews"
204,Samsung Guru FM Plus SM-B110E/D,"₹1,662",4.3,"49,371 Ratings & 5,265 Reviews"
205,"Samsung Galaxy A31 (Prism Crush Black, 128 GB)","₹20,999",4.3,"3,926 Ratings & 398 Reviews"
206,"OPPO F15 (Unicorn White, 128 GB)","₹16,990",4.3,309 Ratings & 37 Reviews
207,"OPPO F15 (Lightening Black, 128 GB)","₹18,990",4.4,"12,782 Ratings & 1,148 Reviews"
208,Nokia 216,"₹2,899",4.2,"7,932 Ratings & 1,003 Reviews"
209,Grabo HULK,₹609,3.5,68 Ratings & 2 Reviews
210,"Samsung Galaxy M01 (Black, 32 GB)","₹8,921",4.2,"6,455 Ratings & 477 Reviews"
211,"Tecno Camon 15 (Fascinating Purple, 64 GB)","₹11,499",4.2,"4,017 Ratings & 436 Reviews"
212,"Samsung Galaxy A51 (Prism Crush Black, 128 GB)","₹25,999",4.4,662 Ratings & 48 Reviews
213,"Redmi Note 8 Pro (Shadow Black, 64 GB)","₹15,999",4.4,"66,102 Ratings & 5,603 Reviews"
214,"OPPO A52 (Stream White, 128 GB)","₹16,990",4.3,"2,167 Ratings & 172 Reviews"
215,Nokia 216,"₹2,899",4.2,"5,179 Ratings & 534 Reviews"
216,"Samsung Galaxy A51 (Prism Crush Blue, 128 GB)","₹25,999",4.4,662 Ratings & 48 Reviews
217,"Redmi K20 (Glacier Blue, 128 GB)","₹21,999",4.5,"47,629 Ratings & 5,108 Reviews"
218,"Redmi Note 8 Pro (Halo White, 64 GB)","₹15,999",4.4,"66,102 Ratings & 5,603 Reviews"
219,"Redmi 8A Dual (Sky White, 64 GB)","₹9,499",4.2,"3,105 Ratings & 235 Reviews"
